							248
7	7	14	1	14	1		
8	10	18	1	24	1	6	
11	14	25	1	38	1	13	
18	14	32	1	52	1	20	
20	2	22	1	52	2	32	
22	15	37	1	67	1	30	
32	5	37	1	67	2	35	
33	4	37	1	67	2	34	
36	4	40	1	67	2	31	
53	10	63	1	77	1	14	
58	4	62	1	81	1	19	
72	4	76	1	85	1	9	
116	14	130	1	130	1	-31	
123	5	128	1	135	1	7	
131	14	145	1	149	1	4	
135	8	143	1	157	1	14	
136	2	138	1	159	1	21	
155	6	161	1	165	1	4	
158	11	169	1	176	1	7	
165	3	168	1	179	1	11	
166	3	169	1	182	1	13	
177	11	188	1	193	1	5	
183	15	198	1	208	1	10	
197	1	198	1	209	1	11	
200	12	212	1	221	1	9	
202	11	213	1	232	1	19	
203	4	207	1	236	1	29	
204	14	218	1	236	2	32	
213	3	216	1	239	1	23	
215	2	217	1	241	1	24	
222	8	230	1	249	1	19	
224	3	227	1	252	1	25	
244	9	253	1	261	1	8	
248	10	258	1	271	1	13	
253	9	262	1	280	1	18	
259	5	264	1	285	1	21	
261	11	272	1	296	1	24	
267	11	278	1	307	1	29	
285	5	290	1	312	1	22	
286	9	295	1	321	1	26	
294	6	300	1	327	1	27	
295	8	303	1	327	2	32	
296	11	307	1	327	2	31	
298	15	313	1	342	1	29	
310	12	322	1	342	2	32	
323	9	332	1	351	1	19	
332	4	336	1	355	1	19	
335	15	350	1	370	1	20	
338	7	345	1	370	2	32	
342	10	352	1	380	1	28	
345	14	359	1	380	2	35	
362	8	370	1	388	1	18	
382	8	390	1	396	1	6	
385	4	389	1	400	1	11	
387	2	389	1	402	1	13	
389	12	401	1	414	1	13	
395	4	399	1	418	1	19	
396	14	410	1	432	1	22	
404	13	417	1	445	1	28	
417	10	427	1	455	1	28	
422	6	428	1	455	2	33	
429	1	430	1	456	1	26	
445	4	449	1	460	1	11	
453	6	459	1	466	1	7	
454	3	457	1	469	1	12	
459	6	465	1	475	1	10	
465	9	474	1	484	1	10	
469	5	474	1	489	1	15	
480	2	482	1	491	1	9	
482	11	493	1	502	1	9	
483	5	488	1	507	1	19	
494	8	502	1	515	1	13	
499	15	514	1	530	1	16	
501	13	514	1	543	1	29	
504	13	517	1	543	2	39	
512	8	520	1	543	2	31	
520	2	522	1	545	1	23	
527	14	541	1	559	1	18	
531	7	538	1	566	1	28	
532	7	539	1	566	2	34	
533	8	541	1	566	2	33	
535	15	550	1	566	2	31	
541	8	549	1	574	1	25	
557	4	561	1	578	1	17	
580	3	583	1	583	1	-2	
585	15	600	1	600	1	-2	
586	9	595	1	609	1	14	
589	14	603	1	623	1	20	
590	4	594	1	623	2	33	
597	4	601	1	627	1	26	
602	13	615	1	640	1	25	
606	5	611	1	640	2	34	
609	14	623	1	640	2	31	
613	7	620	1	647	1	27	
614	5	619	1	647	2	33	
618	7	625	1	654	1	29	
619	6	625	1	654	2	35	
621	6	627	1	654	2	33	
632	2	634	1	656	1	22	
634	11	645	1	667	1	22	
641	8	649	1	675	1	26	
647	10	657	1	685	1	28	
653	9	662	1	685	2	32	
655	5	660	1	690	1	30	
663	12	675	1	702	1	27	
668	6	674	1	702	2	34	
670	5	675	1	702	2	32	
679	6	685	1	708	1	23	
682	11	693	1	719	1	26	
684	13	697	1	719	2	35	
691	5	696	1	724	1	28	
693	8	701	1	724	2	31	
695	13	708	1	737	1	29	
702	11	713	1	737	2	35	
703	15	718	1	737	2	34	
710	13	723	1	750	1	27	
722	12	734	1	762	1	28	
723	9	732	1	762	2	39	
724	12	736	1	762	2	38	
728	5	733	1	762	2	34	
735	12	747	1	774	1	27	
740	9	749	1	774	2	34	
743	10	753	1	774	2	31	
744	3	747	1	777	1	30	
746	13	759	1	777	2	31	
750	11	761	1	788	1	27	
760	10	770	1	798	1	28	
768	14	782	1	812	1	30	
769	2	771	1	812	2	43	
773	12	785	1	812	2	39	
785	15	800	1	827	1	27	
800	14	814	1	841	1	27	
802	7	809	1	841	2	39	
808	11	819	1	841	2	33	
811	8	819	1	849	1	30	
812	4	816	1	849	2	37	
822	10	832	1	859	1	27	
825	12	837	1	859	2	34	
827	13	840	1	859	2	32	
835	4	839	1	863	1	24	
851	11	862	1	874	1	12	
852	6	858	1	880	1	22	
860	15	875	1	895	1	20	
868	7	875	1	902	1	27	
869	5	874	1	902	2	33	
881	7	888	1	909	1	21	
883	1	884	1	910	1	26	
885	9	894	1	919	1	25	
888	4	892	1	919	2	31	
889	9	898	1	928	1	30	
894	8	902	1	928	2	34	
896	3	899	1	928	2	32	
897	14	911	1	928	2	31	
899	9	908	1	937	1	29	
17	2	19	2	19	1	920	
